Location_ID,City,Province,Address,Latitude,Longitude,Avg_Income,Traffic_Daily,Competitors,Rent_Per_Year,AI_Score,Grade,Verdict
ID_10000,Bandung,Jawa Barat,"Jl. Sisingamangaraja No. 23, Bandung",-6.873023,107.642522,4567055,15523,93,84830294,45,D,Tidak Disarankan ❌
ID_10001,Malang,Jawa Timur,"Jl. Pattimura No. 102, Malang",-7.994168,112.647851,3988238,8494,30,32936573,73,B,Potensial ✅
ID_10002,Tangerang Selatan,Banten,"Jl. Jend. Sudirman No. 168, Tangerang Selatan",-6.275687,106.659604,4795291,18557,53,28642861,80,B,Potensial ✅
ID_10003,Bandung,Jawa Barat,"Jl. Sisingamangaraja No. 109, Bandung",-6.883174,107.521256,4298403,15897,81,64779815,62,C,Cukup (Perlu Strategi) ⚠️
ID_10004,Padang,Sumatera Barat,"Jl. Cikini Raya No. 83, Padang",-1.012486,100.435793,2800000,14548,6,51553106,68,C,Cukup (Perlu Strategi) ⚠️
ID_10005,Jakarta Selatan,DKI Jakarta,"Jl. Hayam Wuruk No. 6, Jakarta Selatan",-6.294431,106.818284,9110174,17306,115,107099875,49,D,Tidak Disarankan ❌
ID_10006,Batam,Kep. Riau,"Jl. Pasteur No. 199, Batam",1.139711,104.033106,5006339,9606,53,71631273,50,D,Tidak Disarankan ❌
ID_10007,Kupang,NTT,"Jl. Raden Saleh No. 61, Kupang",-10.243246,123.601143,4925138,6391,44,64449427,52,D,Tidak Disarankan ❌
ID_10008,Makassar,Sulawesi Selatan,"Jl. Diponegoro No. 110, Makassar",-5.124969,119.392406,7562805,23113,53,80392385,87,A,Sangat Direkomendasikan ⭐
ID_10009,Jakarta Selatan,DKI Jakarta,"Jl. Gatot Subroto No. 85, Jakarta Selatan",-6.199414,106.800489,8123285,21572,34,50460958,99,A,Sangat Direkomendasikan ⭐
ID_10010,Samarinda,Kalimantan Timur,"Jl. Diponegoro No. 70, Samarinda",-0.479388,117.115568,4088308,18322,62,82567741,62,C,Cukup (Perlu Strategi) ⚠️
ID_10011,Kupang,NTT,"Jl. Imam Bonjol No. 109, Kupang",-10.0906,123.553338,5506584,11391,22,47133912,83,B,Potensial ✅
ID_10012,Jayapura,Papua,"Jl. Pasteur No. 45, Jayapura",-2.533306,140.69498,4467040,10205,66,113803030,31,D,Tidak Disarankan ❌
ID_10013,Denpasar,Bali,"Jl. Gatot Subroto No. 101, Denpasar",-8.639187,115.237685,6927458,20836,36,31266136,99,A,Sangat Direkomendasikan ⭐
ID_10014,Jakarta Selatan,DKI Jakarta,"Jl. Sisingamangaraja No. 8, Jakarta Selatan",-6.292051,106.815625,4872717,24764,61,115511473,62,C,Cukup (Perlu Strategi) ⚠️
